id_transaksi,tanggal,cabang,kategori_produk,nama_produk,harga_satuan,jumlah_terjual,total_penjualan,metode_pembayaran,jenis_kelamin_pelanggan,usia_pelanggan,rating_kepuasan,status_promo,biaya_iklan_harian
TRX00104,2026-01-02,Jakarta,Elektronik Rumah Tangga,Rice Cooker,5951000,3,17853000,Tunai,P,48.0,4.0,Reguler,1406000
TRX00575,2026-01-02,Jakarta,Elektronik Rumah Tangga,Rice Cooker,2838000,5,14190000,E-Wallet,L,64.0,3.0,Reguler,2176000
TRX01070,2026-01-02,Surabaya,Smartphone,Smartphone Z5,4040000,5,20200000,Debit,L,25.0,,Reguler,425000
TRX00465,2026-01-02,Jakarta,Laptop,Laptop ProBook,6826000,2,13652000,Kredit,L,20.0,5.0,Reguler,1157000
TRX01763,2026-01-02,Surabaya,Smartphone,Smartphone NovaLite,6036000,1,6036000,Tunai,P,20.0,5.0,Reguler,1279000
TRX01121,2026-01-03,Surabaya,Smartphone,Smartphone NovaLite,1821000,3,5463000,Debit,L,38.0,3.0,Reguler,2815000
TRX00889,2026-01-03,Bandung,Laptop,Laptop UltraSlim,6758000,3,20274000,E-Wallet,L,45.0,4.0,Reguler,239000
TRX01682,2026-01-03,Malang,Laptop,Laptop UltraSlim,6662000,2,13324000,Kredit,L,32.0,3.0,Reguler,1913000
TRX01038,2026-01-03,Jakarta,Laptop,Laptop UltraSlim,10474000,1,10474000,E-Wallet,P,27.0,4.0,Reguler,2142000
TRX00839,2026-01-03,Malang,Aksesoris,Powerbank 10000mAh,499000,1,499000,Kredit,L,32.0,4.0,Reguler,2202000
TRX00410,2026-01-03,Jakarta,Aksesoris,Powerbank 10000mAh,292000,3,876000,Tunai,L,33.0,5.0,Reguler,1627000
TRX00801,2026-01-03,Surabaya,Smartphone,Smartphone Air,3959000,4,15836000,E-Wallet,P,32.0,1.0,Reguler,2492000
TRX00790,2026-01-03,Surabaya,Laptop,Laptop ProBook,6798000,1,6798000,E-Wallet,L,23.0,5.0,Reguler,1020000
TRX01594,2026-01-04,Bandung,Smartphone,Smartphone MaxEdge,7360000,1,7360000,Kredit,L,43.0,3.0,Reguler,1333000
TRX02090,2026-01-04,Malang,Elektronik Rumah Tangga,Kipas Angin,3728000,1,3728000,E-Wallet,L,28.0,4.0,Reguler,2537000
TRX01167,2026-01-04,Jakarta,Laptop,Laptop X1,13257000,2,26514000,Debit,P,33.0,3.0,Reguler,2300000
TRX00540,2026-01-04,Jakarta,Smartphone,Smartphone MaxEdge,3687000,1,3687000,Debit,P,31.0,5.0,Reguler,1495000
TRX00415,2026-01-04,Bandung,Elektronik Rumah Tangga,Rice Cooker,5861000,4,23444000,E-Wallet,L,44.0,3.0,Reguler,376000
TRX01652,2026-01-04,Jakarta,Aksesoris,Earphone Bluetooth,498000,4,1992000,E-Wallet,L,48.0,4.0,Reguler,1142000
TRX01624,2026-01-04,Surabaya,Elektronik Rumah Tangga,TV LED 32in,2557000,4,10228000,Debit,L,37.0,5.0,Reguler,2639000
TRX00233,2026-01-04,Surabaya,Smartphone,Smartphone Z5,1675000,1,1675000,Kredit,P,18.0,5.0,Reguler,1144000
TRX01529,2026-01-04,Malang,Aksesoris,Mouse Wireless,320000,5,1600000,Kredit,L,47.0,4.0,Reguler,1798000
TRX02171,2026-01-04,Bandung,Aksesoris,Powerbank 10000mAh,411000,3,1233000,E-Wallet,L,33.0,3.0,Reguler,1803000
TRX01366,2026-01-04,Jakarta,Smartphone,Smartphone MaxEdge,6074000,4,24296000,E-Wallet,L,20.0,5.0,Reguler,2423000
TRX00300,2026-01-04,Surabaya,Smartphone,Smartphone MaxEdge,6252000,3,18756000,Kredit,P,53.0,5.0,Reguler,1550000
TRX00478,2026-01-04,Jakarta,Laptop,Laptop X1,5492000,5,27460000,Kredit,L,30.0,4.0,Reguler,2621000
TRX00369,2026-01-05,Jakarta,Smartphone,Smartphone MaxEdge,6887000,1,6887000,Debit,L,21.0,,Reguler,595000
TRX02138,2026-01-05,Malang,Laptop,Laptop UltraSlim,10824000,4,43296000,Kredit,P,22.0,4.0,Reguler,2105000
TRX00429,2026-01-05,Malang,Aksesoris,Powerbank 10000mAh,148000,3,444000,E-Wallet,P,33.0,3.0,Reguler,2137000
TRX00170,2026-01-05,Surabaya,Elektronik Rumah Tangga,Rice Cooker,1349000,4,5396000,E-Wallet,P,46.0,3.0,Reguler,228000
TRX00272,2026-01-05,Bandung,Laptop,Laptop ProBook,7394000,5,36970000,Kredit,L,33.0,4.0,Reguler,2039000
TRX01180,2026-01-05,Jakarta,Elektronik Rumah Tangga,TV LED 32in,3648000,4,14592000,E-Wallet,L,18.0,4.0,Reguler,1744000
TRX01399,2026-01-05,Jakarta,Smartphone,Smartphone MaxEdge,6637000,1,6637000,E-Wallet,P,31.0,4.0,Reguler,355000
TRX01783,2026-01-05,Surabaya,Smartphone,Smartphone Air,6335000,4,25340000,E-Wallet,P,37.0,5.0,Reguler,1080000
TRX01744,2026-01-05,Malang,Smartphone,Smartphone Z5,1508000,2,3016000,E-Wallet,P,36.0,5.0,Reguler,2490000
TRX00821,2026-01-05,Surabaya,Elektronik Rumah Tangga,Kipas Angin,3164000,5,15820000,Kredit,L,28.0,4.0,Reguler,2988000
TRX00454,2026-01-05,Surabaya,Aksesoris,Earphone Bluetooth,276000,4,1104000,Debit,P,46.0,4.0,Reguler,2445000
TRX00138,2026-01-06,Surabaya,Smartphone,Smartphone NovaLite,6655000,4,26620000,Debit,L,22.0,5.0,Reguler,651000
TRX01536,2026-01-06,Surabaya,Aksesoris,Earphone Bluetooth,75000,2,150000,E-Wallet,P,46.0,5.0,Reguler,1914000
TRX01590,2026-01-06,Surabaya,Elektronik Rumah Tangga,Kipas Angin,3025000,5,15125000,E-Wallet,L,35.0,4.0,Reguler,2000000
TRX01493,2026-01-06,Jakarta,Smartphone,Smartphone NovaLite,7232000,4,28928000,E-Wallet,L,29.0,5.0,Reguler,2934000
TRX00385,2026-01-06,Jakarta,Laptop,Laptop ProBook,7409000,1,7409000,Debit,P,48.0,4.0,Reguler,1952000
TRX01300,2026-01-06,Surabaya,Smartphone,Smartphone Air,7709000,4,30836000,Debit,L,32.0,4.0,Reguler,1016000
TRX01944,2026-01-06,Surabaya,Smartphone,Smartphone Z5,3698000,1,3698000,E-Wallet,P,49.0,4.0,Reguler,2143000
TRX01869,2026-01-06,Surabaya,Laptop,Laptop A14,10411000,2,20822000,Kredit,L,42.0,3.0,Reguler,2679000
TRX00787,2026-01-06,Malang,Smartphone,Smartphone Z5,3224000,1,3224000,Tunai,P,,4.0,Reguler,2486000
TRX00830,2026-01-06,Surabaya,Elektronik Rumah Tangga,Kulkas 2 Pintu,5459000,5,27295000,Kredit,P,34.0,5.0,Reguler,2230000
TRX01683,2026-01-07,Jakarta,Smartphone,Smartphone NovaLite,4997000,1,4997000,E-Wallet,P,28.0,5.0,Reguler,654000
TRX00844,2026-01-07,Malang,Smartphone,Smartphone NovaLite,5960000,3,17880000,Debit,P,38.0,5.0,Reguler,2349000
TRX00117,2026-01-07,Surabaya,Aksesoris,Mouse Wireless,160000,1,160000,Kredit,L,32.0,2.0,Reguler,2172000
TRX01446,2026-01-07,Surabaya,Laptop,Laptop UltraSlim,12989000,3,38967000,E-Wallet,P,24.0,5.0,Reguler,1410000
TRX00970,2026-01-07,Surabaya,Aksesoris,Earphone Bluetooth,335000,5,1675000,Kredit,P,25.0,4.0,Reguler,2354000
TRX00328,2026-01-07,Malang,Aksesoris,Mouse Wireless,63000,4,252000,Debit,L,47.0,5.0,Reguler,2144000
TRX01909,2026-01-07,Malang,Laptop,Laptop ProBook,12991000,1,12991000,E-Wallet,P,50.0,5.0,Reguler,2335000
TRX01266,2026-01-07,Jakarta,Aksesoris,Earphone Bluetooth,117000,2,234000,Kredit,L,,5.0,Reguler,935000
TRX00147,2026-01-07,Jakarta,Aksesoris,Earphone Bluetooth,386000,4,1544000,Debit,L,22.0,4.0,Reguler,2196000
TRX00663,2026-01-07,Malang,Aksesoris,Powerbank 10000mAh,126000,1,126000,Debit,L,41.0,5.0,Reguler,1866000
TRX00562,2026-01-08,Jakarta,Laptop,Laptop UltraSlim,6601000,3,19803000,E-Wallet,L,20.0,4.0,Reguler,1587000
TRX00811,2026-01-08,Malang,Smartphone,Smartphone Z5,5299000,3,15897000,Debit,L,25.0,3.0,Reguler,2820000
TRX01452,2026-01-08,Surabaya,Smartphone,Smartphone NovaLite,7698000,4,30792000,E-Wallet,L,40.0,,Reguler,1053000
TRX00902,2026-01-08,Surabaya,Aksesoris,Casing HP,372000,3,1116000,Debit,L,53.0,,Reguler,1804000
TRX00250,2026-01-08,Malang,Elektronik Rumah Tangga,Kulkas 2 Pintu,2383000,5,11915000,Debit,L,32.0,3.0,Reguler,1383000
TRX01019,2026-01-08,Malang,Elektronik Rumah Tangga,Rice Cooker,1693000,4,6772000,E-Wallet,P,44.0,2.0,Reguler,1506000
TRX01099,2026-01-08,Malang,Laptop,Laptop A14,7964000,4,31856000,E-Wallet,L,34.0,4.0,Reguler,1810000
TRX00817,2026-01-08,Jakarta,Smartphone,Smartphone MaxEdge,2893000,5,14465000,Kredit,P,27.0,2.0,Reguler,2438000
TRX00870,2026-01-08,Surabaya,Smartphone,Smartphone NovaLite,3798000,1,3798000,Kredit,L,40.0,5.0,Reguler,1858000
TRX01240,2026-01-08,Malang,Smartphone,Smartphone MaxEdge,6103000,2,12206000,Tunai,L,41.0,5.0,Reguler,2979000
TRX01871,2026-01-08,Surabaya,Aksesoris,Powerbank 10000mAh,475000,1,475000,E-Wallet,P,27.0,5.0,Reguler,1220000
TRX00056,2026-01-08,Malang,Smartphone,Smartphone MaxEdge,5410000,2,10820000,Debit,L,35.0,5.0,Reguler,2084000
TRX02038,2026-01-08,Malang,Aksesoris,Casing HP,438000,3,1314000,Kredit,P,44.0,,Reguler,1029000
TRX00397,2026-01-09,Bandung,Smartphone,Smartphone Z5,7936000,3,23808000,Kredit,L,41.0,2.0,Reguler,1681000
TRX01781,2026-01-09,Malang,Laptop,Laptop ProBook,5573000,4,22292000,E-Wallet,P,39.0,3.0,Reguler,844000
TRX01270,2026-01-09,Surabaya,Smartphone,Smartphone Air,7784000,3,23352000,E-Wallet,P,38.0,4.0,Reguler,2458000
TRX01286,2026-01-09,Jakarta,Aksesoris,Powerbank 10000mAh,278000,3,834000,Debit,P,51.0,5.0,Reguler,1639000
TRX01526,2026-01-09,Surabaya,Smartphone,Smartphone Air,7320000,1,7320000,Debit,L,42.0,,Reguler,2210000
TRX01518,2026-01-09,Bandung,Smartphone,Smartphone Air,3534000,4,14136000,Debit,P,43.0,,Reguler,2738000
TRX00574,2026-01-09,Malang,Laptop,Laptop ProBook,8428000,3,25284000,Kredit,L,39.0,5.0,Reguler,786000
TRX01463,2026-01-09,Jakarta,Elektronik Rumah Tangga,Kipas Angin,1269000,4,5076000,Debit,L,43.0,4.0,Reguler,2329000
TRX01110,2026-01-09,Malang,Laptop,Laptop UltraSlim,9054000,3,27162000,Kredit,P,40.0,4.0,Reguler,2214000
TRX01806,2026-01-09,Jakarta,Smartphone,Smartphone Air,4792000,5,23960000,Debit,L,34.0,4.0,Reguler,1103000
TRX00352,2026-01-09,Jakarta,Laptop,Laptop A14,13759000,2,27518000,Debit,L,30.0,3.0,Reguler,2452000
TRX00699,2026-01-10,Surabaya,Smartphone,Smartphone MaxEdge,4910000,1,4910000,E-Wallet,P,39.0,5.0,Reguler,674000
TRX01464,2026-01-10,Surabaya,Smartphone,Smartphone Z5,6886000,5,34430000,Debit,L,31.0,3.0,Reguler,1678000
TRX00848,2026-01-10,Bandung,Aksesoris,Mouse Wireless,412000,4,1648000,Tunai,L,40.0,4.0,Reguler,910000
TRX00887,2026-01-10,Malang,Laptop,Laptop X1,10001000,4,40004000,Kredit,P,36.0,5.0,Reguler,2371000
TRX00898,2026-01-10,Surabaya,Elektronik Rumah Tangga,TV LED 32in,3057000,5,15285000,E-Wallet,L,26.0,2.0,Reguler,383000
TRX01267,2026-01-10,Malang,Aksesoris,Powerbank 10000mAh,336000,2,672000,Debit,L,31.0,3.0,Reguler,1897000
TRX01983,2026-01-10,Jakarta,Elektronik Rumah Tangga,Kipas Angin,1938000,5,9690000,Tunai,P,30.0,4.0,Reguler,2707000
TRX01453,2026-01-10,Jakarta,Smartphone,Smartphone Air,4330000,4,17320000,Debit,P,32.0,5.0,Reguler,288000
TRX01976,2026-01-10,Bandung,Aksesoris,Mouse Wireless,146000,5,730000,Kredit,L,27.0,5.0,Reguler,370000
TRX01653,2026-01-10,Jakarta,Laptop,Laptop UltraSlim,7007000,4,28028000,Kredit,P,33.0,4.0,Reguler,1834000
TRX01642,2026-01-10,Jakarta,Laptop,Laptop UltraSlim,6731000,5,33655000,Tunai,P,46.0,2.0,Reguler,697000
TRX00584,2026-01-10,Malang,Smartphone,Smartphone Air,3689000,5,18445000,Tunai,P,38.0,5.0,Reguler,991000
TRX00546,2026-01-10,Surabaya,Smartphone,Smartphone MaxEdge,3755000,4,15020000,E-Wallet,L,38.0,5.0,Reguler,2095000
TRX00150,2026-01-11,Bandung,Aksesoris,Casing HP,101000,1,101000,Debit,P,,,Reguler,891000
TRX01979,2026-01-11,Jakarta,Laptop,Laptop X1,8857000,2,17714000,Debit,L,23.0,5.0,Reguler,1558000
TRX01026,2026-01-11,Surabaya,Smartphone,Smartphone NovaLite,3656000,2,7312000,E-Wallet,L,31.0,2.0,Reguler,2089000
TRX00542,2026-01-11,Malang,Aksesoris,Casing HP,323000,2,646000,E-Wallet,L,19.0,4.0,Reguler,1344000
TRX01615,2026-01-11,Bandung,Smartphone,Smartphone Air,5847000,2,11694000,Tunai,L,31.0,4.0,Reguler,485000
TRX01801,2026-01-11,Surabaya,Smartphone,Smartphone Air,1567000,2,3134000,Tunai,L,39.0,4.0,Reguler,972000
TRX00858,2026-01-11,Malang,Laptop,Laptop A14,10199000,4,40796000,Debit,P,40.0,5.0,Reguler,1595000
TRX01470,2026-01-11,Bandung,Aksesoris,Powerbank 10000mAh,304000,3,912000,E-Wallet,P,37.0,3.0,Reguler,1378000
TRX01411,2026-01-11,Surabaya,Aksesoris,Mouse Wireless,278000,4,1112000,Debit,P,28.0,5.0,Reguler,2491000
TRX01021,2026-01-11,Malang,Aksesoris,Powerbank 10000mAh,199000,3,597000,Debit,L,31.0,4.0,Reguler,1266000
TRX01136,2026-01-11,Bandung,Smartphone,Smartphone Air,6325000,1,6325000,E-Wallet,P,37.0,4.0,Reguler,1105000
TRX01351,2026-01-11,Jakarta,Aksesoris,Mouse Wireless,448000,1,448000,Kredit,P,54.0,1.0,Reguler,2302000
TRX01889,2026-01-12,Malang,Elektronik Rumah Tangga,Rice Cooker,5545000,4,22180000,Tunai,P,40.0,4.0,Reguler,484000
TRX00619,2026-01-12,Jakarta,Aksesoris,Powerbank 10000mAh,173000,3,519000,E-Wallet,P,26.0,4.0,Reguler,614000
TRX02002,2026-01-12,Malang,Aksesoris,Earphone Bluetooth,312000,2,624000,Debit,L,30.0,5.0,Reguler,1748000
TRX01456,2026-01-12,Jakarta,Smartphone,Smartphone Air,2894000,5,14470000,Debit,P,33.0,,Reguler,356000
TRX02129,2026-01-12,Jakarta,Elektronik Rumah Tangga,TV LED 32in,3611000,3,10833000,E-Wallet,L,27.0,,Reguler,911000
TRX00279,2026-01-12,Jakarta,Aksesoris,Casing HP,197000,3,591000,E-Wallet,L,42.0,4.0,Reguler,2805000
TRX00036,2026-01-12,Surabaya,Smartphone,Smartphone Z5,3441000,5,17205000,Debit,L,32.0,5.0,Reguler,2708000
TRX01953,2026-01-13,Jakarta,Smartphone,Smartphone Z5,4653000,5,23265000,E-Wallet,L,31.0,4.0,Reguler,2938000
TRX00899,2026-01-13,Jakarta,Laptop,Laptop A14,10970000,2,21940000,Kredit,L,36.0,3.0,Reguler,1485000
TRX00045,2026-01-13,Surabaya,Smartphone,Smartphone Air,6776000,5,33880000,Tunai,L,39.0,5.0,Reguler,571000
TRX00518,2026-01-13,Surabaya,Smartphone,Smartphone MaxEdge,1810000,2,3620000,E-Wallet,P,35.0,2.0,Reguler,2394000
TRX01834,2026-01-13,Bandung,Smartphone,Smartphone Z5,6817000,3,20451000,Debit,P,,4.0,Reguler,1907000
TRX00387,2026-01-13,Bandung,Smartphone,Smartphone Air,7753000,4,31012000,Debit,P,22.0,4.0,Reguler,1781000
TRX01035,2026-01-13,Surabaya,Aksesoris,Powerbank 10000mAh,126000,3,378000,Debit,L,36.0,5.0,Reguler,693000
TRX01362,2026-01-13,Jakarta,Elektronik Rumah Tangga,Rice Cooker,5597000,2,11194000,Debit,P,31.0,5.0,Reguler,802000
TRX01769,2026-01-13,Bandung,Smartphone,Smartphone NovaLite,7586000,3,22758000,Kredit,P,,4.0,Reguler,1002000
TRX01022,2026-01-14,Malang,Smartphone,Smartphone Z5,7547000,5,37735000,Debit,P,54.0,4.0,Reguler,235000
TRX00069,2026-01-14,Jakarta,Laptop,Laptop A14,7641000,1,7641000,Debit,L,24.0,4.0,Reguler,2026000
TRX01215,2026-01-14,Surabaya,Laptop,Laptop A14,10690000,3,32070000,Tunai,L,,4.0,Reguler,1549000
TRX00659,2026-01-14,Bandung,Laptop,Laptop X1,8108000,4,32432000,Debit,L,,2.0,Reguler,2907000
TRX01911,2026-01-14,Malang,Smartphone,Smartphone Air,1933000,1,1933000,Kredit,P,26.0,4.0,Reguler,2022000
TRX01055,2026-01-14,Jakarta,Elektronik Rumah Tangga,Rice Cooker,3878000,1,3878000,E-Wallet,P,38.0,5.0,Reguler,1310000
TRX01253,2026-01-14,Malang,Laptop,Laptop A14,6232000,3,18696000,Debit,P,27.0,4.0,Reguler,2843000
TRX02025,2026-01-14,Malang,Laptop,Laptop X1,5174000,3,15522000,Debit,P,,4.0,Reguler,1676000
TRX00439,2026-01-15,Jakarta,Aksesoris,Powerbank 10000mAh,390000,3,1170000,Debit,P,21.0,4.0,Reguler,1737000
TRX01361,2026-01-15,Bandung,Aksesoris,Casing HP,396000,5,1980000,Debit,L,18.0,,Reguler,2275000
TRX01027,2026-01-15,Surabaya,Laptop,Laptop A14,9974000,1,9974000,E-Wallet,L,29.0,4.0,Reguler,2960000
TRX00280,2026-01-15,Surabaya,Laptop,Laptop UltraSlim,8492000,1,8492000,Debit,L,37.0,,Reguler,1394000
TRX00127,2026-01-15,Surabaya,Laptop,Laptop A14,10975000,2,21950000,Debit,L,23.0,4.0,Reguler,1329000
TRX00217,2026-01-15,Surabaya,Aksesoris,Mouse Wireless,387000,4,1548000,Kredit,P,,5.0,Reguler,985000
TRX01096,2026-01-15,Jakarta,Smartphone,Smartphone NovaLite,6030000,2,12060000,Tunai,L,31.0,4.0,Reguler,2786000
TRX01571,2026-01-15,Jakarta,Smartphone,Smartphone Air,1583000,2,3166000,E-Wallet,L,43.0,4.0,Reguler,2397000
TRX01851,2026-01-15,Malang,Aksesoris,Mouse Wireless,136000,2,272000,Debit,P,38.0,5.0,Reguler,2188000
TRX01588,2026-01-15,Jakarta,Aksesoris,Casing HP,130000,3,390000,Debit,P,21.0,4.0,Reguler,585000
TRX01328,2026-01-16,Jakarta,Smartphone,Smartphone Z5,3540000,1,3540000,E-Wallet,P,43.0,4.0,Reguler,2764000
TRX01256,2026-01-16,Jakarta,Aksesoris,Mouse Wireless,386000,1,386000,Tunai,L,18.0,4.0,Reguler,2078000
TRX01122,2026-01-16,Surabaya,Laptop,Laptop UltraSlim,10011000,2,20022000,Debit,P,49.0,4.0,Reguler,2803000
TRX00196,2026-01-16,Surabaya,Aksesoris,Mouse Wireless,223000,3,669000,Debit,L,28.0,4.0,Reguler,2224000
TRX00246,2026-01-16,Jakarta,Smartphone,Smartphone NovaLite,1904000,4,7616000,Debit,L,,4.0,Reguler,1791000
TRX00431,2026-01-16,Surabaya,Elektronik Rumah Tangga,Kipas Angin,3645000,2,7290000,Tunai,L,23.0,4.0,Reguler,1400000
TRX00678,2026-01-16,Surabaya,Laptop,Laptop UltraSlim,7049000,2,14098000,E-Wallet,L,38.0,4.0,Reguler,964000
TRX00007,2026-01-16,Malang,Laptop,Laptop UltraSlim,5010000,1,5010000,Kredit,P,38.0,4.0,Reguler,1880000
TRX00881,2026-01-16,Bandung,Aksesoris,Powerbank 10000mAh,445000,3,1335000,Kredit,P,36.0,2.0,Reguler,583000
TRX00728,2026-01-16,Surabaya,Aksesoris,Casing HP,484000,1,484000,Kredit,L,19.0,4.0,Reguler,1388000
TRX00753,2026-01-16,Surabaya,Smartphone,Smartphone MaxEdge,2224000,3,6672000,Kredit,P,41.0,4.0,Reguler,211000
TRX00910,2026-01-17,Jakarta,Laptop,Laptop ProBook,13374000,3,40122000,Tunai,P,18.0,2.0,Reguler,2299000
TRX00581,2026-01-17,Jakarta,Aksesoris,Earphone Bluetooth,470000,1,470000,Debit,P,28.0,5.0,Reguler,1232000
TRX00695,2026-01-17,Bandung,Laptop,Laptop ProBook,8321000,4,33284000,E-Wallet,L,35.0,,Reguler,2894000
TRX02082,2026-01-17,Malang,Aksesoris,Casing HP,426000,4,1704000,Debit,L,27.0,5.0,Reguler,2841000
TRX01543,2026-01-17,Surabaya,Smartphone,Smartphone MaxEdge,1676000,3,5028000,Debit,L,36.0,3.0,Reguler,1657000
TRX01721,2026-01-17,Malang,Elektronik Rumah Tangga,Rice Cooker,1572000,3,4716000,Kredit,P,,5.0,Reguler,603000
TRX02033,2026-01-17,Malang,Laptop,Laptop ProBook,5933000,4,23732000,Kredit,P,26.0,,Reguler,470000
TRX01931,2026-01-17,Jakarta,Aksesoris,Mouse Wireless,413000,2,826000,Tunai,P,52.0,5.0,Reguler,2211000
TRX00133,2026-01-17,Malang,Elektronik Rumah Tangga,Kipas Angin,1471000,5,7355000,Kredit,L,46.0,4.0,Reguler,776000
TRX01531,2026-01-17,Malang,Smartphone,Smartphone NovaLite,5874000,2,11748000,E-Wallet,L,37.0,4.0,Reguler,1000000
TRX01809,2026-01-17,Bandung,Smartphone,Smartphone NovaLite,5764000,3,17292000,Kredit,L,35.0,,Reguler,957000
TRX00359,2026-01-17,Bandung,Elektronik Rumah Tangga,Rice Cooker,1163000,3,3489000,Debit,L,24.0,4.0,Reguler,1620000
TRX01633,2026-01-17,Surabaya,Aksesoris,Mouse Wireless,74000,5,370000,Kredit,L,36.0,4.0,Reguler,1812000
TRX00826,2026-01-17,Malang,Laptop,Laptop X1,9029000,2,18058000,Tunai,P,18.0,2.0,Reguler,2097000
TRX00033,2026-01-17,Malang,Laptop,Laptop UltraSlim,11160000,3,33480000,Tunai,L,37.0,5.0,Reguler,2121000
TRX00951,2026-01-17,Bandung,Smartphone,Smartphone MaxEdge,5253000,4,21012000,Debit,P,,4.0,Reguler,1859000
TRX00172,2026-01-17,Surabaya,Smartphone,Smartphone Z5,3091000,5,15455000,Debit,L,31.0,4.0,Reguler,208000
TRX00001,2026-01-17,Malang,Elektronik Rumah Tangga,Rice Cooker,1690000,4,6760000,Debit,L,,4.0,Reguler,2650000
TRX00010,2026-01-18,Malang,Laptop,Laptop X1,6492000,4,25968000,E-Wallet,P,54.0,3.0,Reguler,689000
TRX00376,2026-01-18,Surabaya,Elektronik Rumah Tangga,Kipas Angin,5155000,1,5155000,E-Wallet,P,46.0,,Reguler,493000
TRX00218,2026-01-18,Malang,Laptop,Laptop UltraSlim,12511000,1,12511000,Debit,L,40.0,4.0,Reguler,1135000
TRX00700,2026-01-18,Jakarta,Laptop,Laptop A14,10570000,3,31710000,Debit,P,40.0,5.0,Reguler,1643000
TRX00674,2026-01-18,Bandung,Laptop,Laptop X1,12876000,3,38628000,E-Wallet,L,21.0,3.0,Reguler,1975000
TRX00243,2026-01-18,Surabaya,Elektronik Rumah Tangga,Rice Cooker,4089000,2,8178000,Debit,P,54.0,4.0,Reguler,707000
TRX00588,2026-01-18,Surabaya,Aksesoris,Earphone Bluetooth,140000,5,700000,E-Wallet,P,26.0,4.0,Reguler,2534000
TRX00791,2026-01-18,Malang,Laptop,Laptop ProBook,14488000,1,14488000,Debit,P,43.0,5.0,Reguler,472000
TRX01690,2026-01-18,Surabaya,Laptop,Laptop UltraSlim,10088000,2,20176000,E-Wallet,P,39.0,3.0,Reguler,1640000
TRX00977,2026-01-18,Bandung,Smartphone,Smartphone Air,2198000,2,4396000,Kredit,P,34.0,4.0,Reguler,630000
TRX01842,2026-01-18,Malang,Smartphone,Smartphone MaxEdge,7217000,3,21651000,Kredit,P,47.0,4.0,Reguler,899000
